,art_institution,art_movement,birthdate,birthplace,deathdate,deathplace,endyear,family_and_relatives,field,friends_and_co-workers,genre,image,influenced_by,influenced_on,link,name,nationality,official_site,painting_school,pupils,references,startyear,teachers,wikipedia
10,,[Gothic Art],c.1350,"Ypres, Belgium",c.1409,"Ypres, Belgium",,,[painting],,[religious painting],https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/melchior-broederlam,Melchior Broederlam,Flemish,,[Flemish School],,,,,[ http://en.wikipedia.org/wiki/Melchior_Broederlam ]
11,,[Gothic Art],c.1370,"Fabriano, Italy",1427,"Rome, Italy",,,[painting],,[religious painting],https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/gentile-da-fabriano,Gentile da Fabriano,Italian,,[Lombard School],,,,,[ http://en.wikipedia.org/wiki/Gentile_da_Fabriano ]
12,,[Gothic Art],c.1385,,c.1416,,1415.0,,[illustration],,[miniature],https://uploads0.wikiart.org/images/limbourg-brothers.jpg!Portrait.jpg,,,https://www.wikiart.org/en/limbourg-brothers,Limbourg brothers,Dutch,,,,,1390.0,,[ http://en.wikipedia.org/wiki/Limbourg_brothers ]
13,,"[Gothic Art, Early Renaissance]",c.1395,"Pisa, Italy",1455,"Naples, Italy",,,"[painting, fresco, drawing]",,"[animal painting, portrait]",https://uploads6.wikiart.org/images/pisanello.jpg,,,https://www.wikiart.org/en/pisanello,Pisanello,Italian,,,,,,,[ http://en.wikipedia.org/wiki/Pisanello ]
14,,[Gothic Art],c.1440,"Córdoba, Spain",c.1501,,,,[painting],,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/bartolome-bermejo,Bartolome Bermejo,Spanish,,,,,,,[ http://en.wikipedia.org/wiki/Bartolomé_Bermejo ]
15,,[Proto Renaissance],c.1251,"Florence, Italy",1302,"Pisa, Italy",1295.0,,"[painting, mosaic]",,,https://uploads8.wikiart.org/images/cimabue.jpg!Portrait.jpg,,,https://www.wikiart.org/en/cimabue,Cimabue,Italian,,[Florentine School],[Giotto],,1270.0,,[ http://en.wikipedia.org/wiki/Cimabue ]
16,,[Proto Renaissance],c.1255,"Siena, Italy",c.1318,"Siena, Italy",,,[painting],,[religious painting],https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/duccio,Duccio,Italian,,[Sienese School],,,,,[ http://en.wikipedia.org/wiki/Duccio ]
17,,[Proto Renaissance],c.1266,"Florence, Italy",08 January 1337,"Florence, Italy",1337.0,,"[painting, fresco, architecture]",,,https://uploads7.wikiart.org/images/giotto.jpg!Portrait.jpg,[Byzantine Art],"[Proto Renaissance, Jose Clemente Orozco, Cennino Cennini, Paul Gauguin]",https://www.wikiart.org/en/giotto,Giotto,Italian,,[Florentine School],,,1295.0,[Cimabue],[ http://en.wikipedia.org/wiki/Giotto_di_Bondone ]
18,,[Proto Renaissance],c.1360,"Colle di Val d'Elsa, Tuscany, Italy",c.1427,,,,[painting],,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,[Giotto],,https://www.wikiart.org/en/cennino-cennini,Cennino Cennini,Italian,,,,,,,[ https://en.wikipedia.org/wiki/Cennino_Cennini ]
19,,[Early Renaissance],1377,"Florence, Italy",15 April 1446,,1446.0,,"[sculpture, architecture]",,,https://uploads3.wikiart.org/images/filippo-brunelleschi.jpg!Portrait.jpg,,,https://www.wikiart.org/en/filippo-brunelleschi,Filippo Brunelleschi,Italian,,[Florentine School],,,1400.0,,[ http://en.wikipedia.org/wiki/Filippo_Brunelleschi ]
20,,[Early Renaissance],c.1386,"Florence, Italy",13 December 1466,"Florence, Italy",,,[sculpture],,[sculpture],https://uploads8.wikiart.org/temp/8af9114f-d0fc-4c9e-9f1a-b30354bd466d.jpg!Portrait.jpg,,[Giacomo Manzu],https://www.wikiart.org/en/donatello,Donatello,Italian,,[Florentine School],,,,,[ http://en.wikipedia.org/wiki/Donatello ]
21,,"[Gothic Art, Early Renaissance]",c.1395,"Pisa, Italy",1455,"Naples, Italy",,,"[painting, fresco, drawing]",,"[animal painting, portrait]",https://uploads6.wikiart.org/images/pisanello.jpg,,,https://www.wikiart.org/en/pisanello,Pisanello,Italian,,,,,,,[ http://en.wikipedia.org/wiki/Pisanello ]
22,,[Early Renaissance],c.1395,,18 February 1455,,1452.0,,"[painting, fresco]",,[religious painting],https://uploads4.wikiart.org/images/fra-angelico.jpg!Portrait.jpg,[Sienese School],,https://www.wikiart.org/en/fra-angelico,Fra Angelico,Italian,,[Florentine School],[Benozzo Gozzoli],,1410.0,,[ http://en.wikipedia.org/wiki/Fra_Angelico ]
23,,[Early Renaissance],1397,,10 December 1475,,1475.0,,"[painting, fresco]",,,https://uploads5.wikiart.org/images/paolo-uccello.jpg!Portrait.jpg,,[Raphael],https://www.wikiart.org/en/paolo-uccello,Paolo Uccello,Italian,,,,,1420.0,,[ http://en.wikipedia.org/wiki/Paolo_Uccello ]
24,,[Early Renaissance],c.1400,"Venice, Italy",c.1470,"Venice, Italy",,[Giovanni Bellini],"[painting, fresco]",,[religious painting],https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/jacopo-bellini,Jacopo Bellini,Italian,,[Venetian School],,,,,[ http://en.wikipedia.org/wiki/Jacopo_Bellini ]
25,,[Early Renaissance],1401,,1428,,1428.0,,"[painting, fresco]",,,https://uploads0.wikiart.org/images/masaccio.jpg!Portrait.jpg,,,https://www.wikiart.org/en/masaccio,Masaccio,Italian,,[Florentine School],,,1420.0,,[ http://en.wikipedia.org/wiki/Masaccio ]
26,,[Early Renaissance],c.1406,"Florence, Italy",08 October 1469,"Spoleto, Italy",,,"[painting, fresco]",,,https://uploads5.wikiart.org/images/filippo-lippi.jpg!Portrait.jpg,,,https://www.wikiart.org/en/filippo-lippi,Filippo Lippi,Italian,,[Florentine School],,,,,[ http://en.wikipedia.org/wiki/Filippo_Lippi ]
27,,[Early Renaissance],c.1410,"Venice, Italy",15 May 1461,"Florence, Italy",,,[painting],,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/domenico-veneziano,Domenico Veneziano,Italian,,[Florentine School],,,,,[ http://en.wikipedia.org/wiki/Domenico_Veneziano ]
28,,[Early Renaissance],1412,,12 October 1492,,,,"[painting, fresco]",,,https://uploads4.wikiart.org/images/piero-della-francesca.jpg!Portrait.jpg,,[Antonello da Messina],https://www.wikiart.org/en/piero-della-francesca,Piero della Francesca,Italian,,,,,,,[ http://en.wikipedia.org/wiki/Piero_della_Francesca ]
29,,[Early Renaissance],c.1421,"Castagno, Italy",19 August 1457,"Florence, Italy",,,[painting],,,https://uploads2.wikiart.org/images/andrea-del-castagno.jpg!Portrait.jpg,,,https://www.wikiart.org/en/andrea-del-castagno,Andrea del Castagno,Italian,,[Florentine School],,,,,[ http://en.wikipedia.org/wiki/Andrea_del_Castagno ]
30,,[Early Renaissance],c.1421,"Sant'Ilario a Colombano, Italy",1497,"Pistoia, Italy",,,"[painting, fresco]",,,https://uploads8.wikiart.org/temp/e797f149-566b-4b49-85e1-8eaabc7d2797.jpg!Portrait.jpg,,,https://www.wikiart.org/en/benozzo-gozzoli,Benozzo Gozzoli,Italian,,[Florentine School],,,,[Fra Angelico],[ http://en.wikipedia.org/wiki/Benozzo_Gozzoli ]
31,,[Early Renaissance],c.1430,"Messina, Italy",February 1479,"Messina, Italy",1479.0,,[painting],,,https://uploads6.wikiart.org/images/antonello-da-messina(1).jpg!Portrait.jpg,"[Rogier van der Weyden, Jan van Eyck, Piero della Francesca, Giovanni Bellini]",[Bartolomeo Veneto],https://www.wikiart.org/en/antonello-da-messina,Antonello da Messina,Italian,,[Venetian School],,,1455.0,,[ http://en.wikipedia.org/wiki/Antonello_da_Messina ]
32,,"[Early Renaissance, High Renaissance]",c.1431,"Isola di Carturo, Italy",13 September 1506,"Mantu, Italy",,[Giovanni Bellini],"[painting, fresco, engraving]",,,https://uploads7.wikiart.org/images/andrea-mantegna.jpg!Portrait.jpg,,[Albrecht Durer],https://www.wikiart.org/en/andrea-mantegna,Andrea Mantegna,Italian,,[Venetian School],,,,,[ http://en.wikipedia.org/wiki/Andrea_Mantegna ]
33,,[Early Renaissance],c.1435,"Florence, Italy",1488,"Venice, Italy",,,"[painting, sculpture]",,[sculpture],https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/andrea-del-verrocchio,Andrea del Verrocchio,Italian,,[Florentine School],,,,,[ http://en.wikipedia.org/wiki/Andrea_del_Verrocchio ]
34,,[Early Renaissance],c.1435,"Venice, Italy",c.1495,"Marche, Italy",,,[painting],,[religious painting],https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/carlo-crivelli,Carlo Crivelli,Italian,,[Venetian School],,,,,[ http://en.wikipedia.org/wiki/Carlo_Crivelli ]
35,,[Early Renaissance],c.1445,,17 May 1510,,1505.0,,[painting],,,https://uploads0.wikiart.org/images/sandro-botticelli.jpg!Portrait.jpg,,,https://www.wikiart.org/en/sandro-botticelli,Sandro Botticelli,Italian,,[Florentine School],,,1465.0,,[ http://en.wikipedia.org/wiki/Sandro_Botticelli ]
36,,[Early Renaissance],1449,"Florence, Italy",11 January 1494,"Florence, Italy",,,[painting],,,https://uploads8.wikiart.org/temp/f152034f-1cdb-4bfb-ba17-9ec9189aee55.jpg!Portrait.jpg,[Hugo van der Goes],,https://www.wikiart.org/en/domenico-ghirlandaio,Domenico Ghirlandaio,Italian,,[Florentine School],[Michelangelo],,,,[ http://en.wikipedia.org/wiki/Domenico_Ghirlandaio ]
37,,[High Renaissance],c.1430,"Venice, Italy",1516,"Venice, Italy",1516.0,"[Jacopo Bellini, Andrea Mantegna]",[painting],[Albrecht Durer],,https://uploads8.wikiart.org/images/giovanni-bellini.jpg!Portrait.jpg,,"[Venetian School, Antonello da Messina, Bartolomeo Veneto]",https://www.wikiart.org/en/giovanni-bellini,Giovanni Bellini,Italian,,[Venetian School],"[Giorgione, Titian]",,1450.0,,[ http://en.wikipedia.org/wiki/Giovanni_Bellini ]
38,,"[Early Renaissance, High Renaissance]",c.1431,"Isola di Carturo, Italy",13 September 1506,"Mantu, Italy",,[Giovanni Bellini],"[painting, fresco, engraving]",,,https://uploads7.wikiart.org/images/andrea-mantegna.jpg!Portrait.jpg,,[Albrecht Durer],https://www.wikiart.org/en/andrea-mantegna,Andrea Mantegna,Italian,,[Venetian School],,,,,[ http://en.wikipedia.org/wiki/Andrea_Mantegna ]
39,,[High Renaissance],c.1445,"Cortona, Italy",16 October 1523,"Cortona, Italy",,,"[painting, fresco]",,[religious painting],https://uploads8.wikiart.org/temp/cba462d0-f29c-4082-b6e5-cb261a66ab92.jpg!Portrait.jpg,,[Raphael],https://www.wikiart.org/en/luca-signorelli,Luca Signorelli,Italian,,[Tuscan school],,,,,[ http://en.wikipedia.org/wiki/Luca_Signorelli ]
40,,[High Renaissance],1446,"Città della Pieve, Umbria, Italy",1524,"Fontignano, Umbria, Italy",,,"[painting, fresco]",,,https://uploads7.wikiart.org/images/pietro-perugino.jpg!Portrait.jpg,,,https://www.wikiart.org/en/pietro-perugino,Pietro Perugino,Italian,,[Umbrian school],[Raphael],,,,[ http://en.wikipedia.org/wiki/Pietro_Perugino ]
41,,[High Renaissance],15 April 1452,"Vinci, Republic of Florence, Italy",02 May 1519,"Amboise, France",1519.0,,"[painting, sculpture, architecture]",[Albrecht Durer],,https://uploads0.wikiart.org/images/leonardo-da-vinci.jpg!Portrait.jpg,,[Bartolomeo Veneto],https://www.wikiart.org/en/leonardo-da-vinci,Leonardo da Vinci,Italian,,,,,1472.0,,[ http://en.wikipedia.org/wiki/Leonardo_da_Vinci ]
42,,[High Renaissance],1454,"Perugia, Umbria, Italy",1513,"Siena, Toscana, Italy",,,"[painting, fresco]",,,https://uploads8.wikiart.org/temp/f7c0c652-cc72-4c69-94b9-ed58228f965d.jpg!Portrait.jpg,,,https://www.wikiart.org/en/pinturicchio,Pinturicchio,Italian,,[Umbrian school],,,,,[ http://en.wikipedia.org/wiki/Pinturicchio ]
43,,[High Renaissance],c.1459,"Conegliano, Italy",c.1517,"Conegliano, Italy",,,[painting],,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/cima-da-conegliano,Cima da Conegliano,Italian,,[Venetian School],,,,,[ http://en.wikipedia.org/wiki/Cima_da_Conegliano ]
44,,[High Renaissance],1460,"Milan, Italy",1524,"Milan, Italy",,,[painting],,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/andrea-solario,Andrea Solario,Italian,,[Milanese school],,,,,[ http://en.wikipedia.org/wiki/Andrea_Solari ]
45,,[High Renaissance],02 January 1462,"Florence, Italy",12 April 1522,,,,"[painting, fresco]",,[portrait],https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/piero-di-cosimo,Piero di Cosimo,Italian,,[Florentine School],,,,,[ http://en.wikipedia.org/wiki/Piero_di_Cosimo ]
46,,[High Renaissance],c.1465,"Venice , Italy",c.1526,"Capodistria, Slovenia",,,[painting],,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/vittore-carpaccio,Vittore Carpaccio,Italian,,[Venetian School],,,,,[ http://en.wikipedia.org/wiki/Vittore_Carpaccio ]
47,,[High Renaissance],c.1466,"Milan, Italy",1516,Italy,,,[painting],,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/giovanni-antonio-boltraffio,Giovanni Antonio Boltraffio,Italian,,[Lombard School],,,,,[ http://en.wikipedia.org/wiki/Giovanni_Antonio_Boltraffio ]
48,,[High Renaissance],06 March 1475,"Arezzo, Caprese, Italy",18 February 1564,"Rome, Italy",1564.0,,"[painting, sculpture, architecture]",,[sculpture],https://uploads4.wikiart.org/images/michelangelo.jpg!Portrait.jpg,,"[Mannerism (Late Renaissance), Auguste Rodin, Henry Moore, Jose Clemente Orozco, Raphael, Daniele da Volterra, Maarten de Vos]",https://www.wikiart.org/en/michelangelo,Michelangelo,Italian,,[Florentine School],,,1488.0,[Domenico Ghirlandaio],[ http://en.wikipedia.org/wiki/Michelangelo ]
49,,[High Renaissance],c.1478,"Castelfranco Veneto, Italy",1510,"Venice, Italy",,,[painting],[Titian],,https://uploads8.wikiart.org/images/giorgio-barbarelli-da-castelfranco.jpg!Portrait.jpg,,"[Venetian School, Titian, Lorenzo Lotto]",https://www.wikiart.org/en/giorgione,Giorgione,Italian,,[Venetian School],,,,[Giovanni Bellini],[ http://en.wikipedia.org/wiki/Giorgione ]
50,,[High Renaissance],c.1480,"Venice, Italy",1556,"Loreto, Italy",,,[painting],,,https://uploads5.wikiart.org/images/lorenzo-lotto.jpg!Portrait.jpg,[Giorgione],,https://www.wikiart.org/en/lorenzo-lotto,Lorenzo Lotto,Italian,,[Venetian School],,,,,[ http://en.wikipedia.org/wiki/Lorenzo_Lotto ]
51,,[High Renaissance],c.1480,"Possagno, Republic of Venice, Italy",c.1530,"Turin, Italy",,,[painting],,[portrait],https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,"[Giovanni Bellini, Antonello da Messina, Albrecht Durer, Northern Renaissance, Leonardo da Vinci]",,https://www.wikiart.org/en/bartolomeo-veneto,Bartolomeo Veneto,Italian,,,,[www.balboaparkcommons.org],,,[ https://en.wikipedia.org/wiki/Bartolomeo_Veneto ]
52,,[High Renaissance],1483,"Urbino, Italy",1520,"Rome, Italy",1520.0,,"[painting, architecture]",[Albrecht Durer],,https://uploads8.wikiart.org/images/raphael.jpg!Portrait.jpg,"[Albrecht Durer, Paolo Uccello, Luca Signorelli, Michelangelo, Hans Memling]","[Giorgio de Chirico, Annibale Carracci, Nazarenes, Düsseldorf School of Painting, Jacopo Bassano, Paul Gauguin]",https://www.wikiart.org/en/raphael,Raphael,Italian,,[Umbrian school],,,1499.0,[Pietro Perugino],[ http://en.wikipedia.org/wiki/Raphael#cite_note-0 ]
53,,"[High Renaissance, Mannerism (Late Renaissance)]",1486,"Florence, Italy",1530,"Florence, Italy",,,[painting],,,https://uploads8.wikiart.org/temp/2801c8a9-d072-4207-a9f6-f5c236721fc4.jpg!Portrait.jpg,,[Annibale Carracci],https://www.wikiart.org/en/andrea-del-sarto,Andrea del Sarto,Italian,,[Florentine School],,,,,[ http://en.wikipedia.org/wiki/Andrea_del_Sarto ]
54,,"[High Renaissance, Mannerism (Late Renaissance)]",c.1488,"Pieve di Cadore, Italy",27 August 1576,"Venice, Italy",1576.0,,[painting],[Giorgione],,https://uploads7.wikiart.org/images/titian.jpg!Portrait.jpg,"[Albrecht Durer, Giorgione]",[Jacopo Bassano],https://www.wikiart.org/en/titian,Titian,Italian,,[Venetian School],"[El Greco, Annibale Carracci]",,1505.0,[Giovanni Bellini],[ http://en.wikipedia.org/wiki/Titian ]
55,,"[High Renaissance, Mannerism (Late Renaissance)]",c.1489,,05 March 1534,,1534.0,,"[painting, fresco]",,,https://uploads1.wikiart.org/images/correggio.jpg!Portrait.jpg,,,https://www.wikiart.org/en/correggio,Correggio,Italian,,[Parma school],,,1510.0,,[ http://en.wikipedia.org/wiki/Antonio_da_Correggio ]
56,,[High Renaissance],c.1490,"Mantua, Italy",1542,"Ferrara, Italy",,,[painting],,,https://uploads8.wikiart.org/temp/86fd7fc2-4908-4009-b419-138625a116fd.jpg!Portrait.jpg,,,https://www.wikiart.org/en/dosso-dossi,Dosso Dossi,Italian,,[Ferrara School],,,,,[ http://en.wikipedia.org/wiki/Dosso_Dossi ]
57,,[High Renaissance],1498,"Crikvenica, Croatia",05 January 1578,"Rome, Italy",,,"[illustration, painting]","[Pieter Bruegel the Elder, El Greco]",[miniature],https://uploads6.wikiart.org/00103/images/giulio-clovio/giulio-clovio.jpg!Portrait.jpg,,,https://www.wikiart.org/en/giulio-clovio,Giulio Clovio,Italian,,,,,,,[ https://en.wikipedia.org/wiki/Giulio_Clovio ]
58,,[Mannerism (Late Renaissance)],1481,"Ferrara, Italy",06 September 1559,,,,[painting],,[religious painting],https://uploads6.wikiart.org/images/benvenuto-tisi.jpg!Portrait.jpg,,,https://www.wikiart.org/en/benvenuto-tisi,Benvenuto Tisi,Italian,,[Ferrara School],,,,,[ http://en.wikipedia.org/wiki/Benvenuto_Tisi ]
59,,"[High Renaissance, Mannerism (Late Renaissance)]",1486,"Florence, Italy",1530,"Florence, Italy",,,[painting],,,https://uploads8.wikiart.org/temp/2801c8a9-d072-4207-a9f6-f5c236721fc4.jpg!Portrait.jpg,,[Annibale Carracci],https://www.wikiart.org/en/andrea-del-sarto,Andrea del Sarto,Italian,,[Florentine School],,,,,[ http://en.wikipedia.org/wiki/Andrea_del_Sarto ]
60,,"[High Renaissance, Mannerism (Late Renaissance)]",c.1488,"Pieve di Cadore, Italy",27 August 1576,"Venice, Italy",1576.0,,[painting],[Giorgione],,https://uploads7.wikiart.org/images/titian.jpg!Portrait.jpg,"[Albrecht Durer, Giorgione]",[Jacopo Bassano],https://www.wikiart.org/en/titian,Titian,Italian,,[Venetian School],"[El Greco, Annibale Carracci]",,1505.0,[Giovanni Bellini],[ http://en.wikipedia.org/wiki/Titian ]
61,,"[High Renaissance, Mannerism (Late Renaissance)]",c.1489,,05 March 1534,,1534.0,,"[painting, fresco]",,,https://uploads1.wikiart.org/images/correggio.jpg!Portrait.jpg,,,https://www.wikiart.org/en/correggio,Correggio,Italian,,[Parma school],,,1510.0,,[ http://en.wikipedia.org/wiki/Antonio_da_Correggio ]
62,,[Mannerism (Late Renaissance)],08 March 1494,"Florence, Italy",14 November 1540,"Paris, France",1540.0,,[painting],,,https://uploads4.wikiart.org/temp/8c0886c9-18da-44c9-85b5-c1b2cc10f974.jpg,,,https://www.wikiart.org/en/rosso-fiorentino,Rosso Fiorentino,Italian,,[Florentine School],,,1518.0,,[ http://en.wikipedia.org/wiki/Rosso_Fiorentino ]
63,,[Mannerism (Late Renaissance)],24 May 1494,"Pontorme, near Empoli, Italy",02 January 1557,"Florence, Italy",,,[painting],,,https://uploads8.wikiart.org/temp/fbf6bdf1-5b66-4d63-9e60-0a272a623bf3.jpg!Portrait.jpg,,,https://www.wikiart.org/en/jacopo-pontormo,Jacopo Pontormo,Italian,,[Florentine School],,,,,[ http://en.wikipedia.org/wiki/Pontormo ]
64,,[Mannerism (Late Renaissance)],1498,"Heemskerk, Netherlands",01 October 1574,"Haarlem, Netherlands",,,[painting],,"[portrait, religious painting]",https://uploads8.wikiart.org/temp/67699c17-e4ac-46cd-bc88-480791002d91.jpg!Portrait.jpg,,,https://www.wikiart.org/en/maerten-van-heemskerck,Maerten van Heemskerck,Dutch,,,,,,,[ http://en.wikipedia.org/wiki/Maarten_van_Heemskerck ]
65,,[Mannerism (Late Renaissance)],03 November 1500,"Florence, Republic of Florence, Italy",13 February 1571,"Florence, Grand Duchy of Tuscany, Italy",,,"[painting, sculpture]",,[sculpture],https://uploads8.wikiart.org/temp/5cc0a3a4-fb75-4ea8-8fd9-817c0e14cf3c.jpg!Portrait.jpg,,,https://www.wikiart.org/en/benvenuto-cellini,Benvenuto Cellini,Italian,,,,,,,[ http://en.wikipedia.org/wiki/Benvenuto_Cellini ]
66,,[Mannerism (Late Renaissance)],11 January 1503,"Parma, Italy",24 August 1540,"Casalmaggiore, Italy",,,[painting],,,https://uploads4.wikiart.org/images/parmigianino.jpg!Portrait.jpg,[Albrecht Durer],[Jacopo Bassano],https://www.wikiart.org/en/parmigianino,Parmigianino,Italian,,[Parma school],,,,,[ http://en.wikipedia.org/wiki/Parmigianino ]
67,,[Mannerism (Late Renaissance)],17 November 1503,"Florence, Italy",23 November 1572,"Florence, Italy",,,[painting],,[portrait],https://uploads8.wikiart.org/temp/3c538aba-545d-44a5-954a-5f70cf42daba.jpg!Portrait.jpg,,,https://www.wikiart.org/en/agnolo-bronzino,Agnolo Bronzino,Italian,,[Florentine School],,,,,[ http://en.wikipedia.org/wiki/Bronzino ]
68,,[Mannerism (Late Renaissance)],c.1509,"Volterra, Italy",c.1566,"Rome, Italy",,,"[painting, fresco, sculpture]",,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,[Michelangelo],,https://www.wikiart.org/en/daniele-da-volterra,Daniele da Volterra,Italian,,,,,,,[ http://en.wikipedia.org/wiki/Daniele_da_Volterra ]
69,,[Mannerism (Late Renaissance)],c.1510,"Bassano del Grappa, Venice, Italy",14 February 1592,"Bassano del Grappa, Venice, Italy",,,[painting],,[landscape],https://uploads8.wikiart.org/temp/74c1c15f-bb88-4f82-ac9c-ed98f9f65926.jpg!Portrait.jpg,"[Titian, Albrecht Durer, Parmigianino, Tintoretto, Raphael]",,https://www.wikiart.org/en/jacopo-bassano,Jacopo Bassano,Italian,,,,,,,[ http://en.wikipedia.org/wiki/Jacopo_Bassano ]
70,,[Mannerism (Late Renaissance)],30 July 1511,"Arezzo, Tuscany, Italy",27 June 1574,"Florence, Italy",,,"[painting, architecture]",,,https://uploads8.wikiart.org/temp/dd168a41-72b4-46db-8573-155db38c484b.jpg!Portrait.jpg,,,https://www.wikiart.org/en/giorgio-vasari,Giorgio Vasari,Italian,,[Tuscan school],,,,,[ http://en.wikipedia.org/wiki/Giorgio_Vasari ]
71,,[Mannerism (Late Renaissance)],29 September 1518,"Venice, Italy",31 May 1594,"Venice, Italy",,,[painting],,,https://uploads2.wikiart.org/images/tintoretto.jpg!Portrait.jpg,,"[Jacopo Bassano, Maarten de Vos]",https://www.wikiart.org/en/tintoretto,Tintoretto,Italian,,[Venetian School],[Maarten de Vos],,,,[ http://en.wikipedia.org/wiki/Tintoretto ]
72,,[Mannerism (Late Renaissance)],1524,"Florence, Italy",1588,,,,[painting],,[religious painting],https://uploads3.wikiart.org/images/plautilla-nelli.jpg,,,https://www.wikiart.org/en/plautilla-nelli,Plautilla Nelli,Italian,,,,,,,[ http://en.wikipedia.org/wiki/Plautilla_Nelli ]
73,,[Mannerism (Late Renaissance)],1527,"Milan, Italy",1593,"Milan, Italy",,,[painting],,[portrait],https://uploads7.wikiart.org/images/giuseppe-arcimboldo/self-portrait.jpg!Portrait.jpg,,,https://www.wikiart.org/en/giuseppe-arcimboldo,Giuseppe Arcimboldo,Italian,,,,,,,[ http://en.wikipedia.org/wiki/Giuseppe_Arcimboldo ]
